ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5011288,F,Y,N,0,86600.0,Pensioner,Higher education,Civil marriage,House / apartment,-9719,365243,1,0,1,1,Laborers,2
5011289,F,N,Y,0,84900.0,State servant,Higher education,Married,House / apartment,-19153,-888,1,0,0,0,Core staff,2
5011290,F,Y,Y,2,58300.0,Working,Secondary / secondary special,Married,House / apartment,-8188,-1668,1,0,0,0,Laborers,4
5011291,F,N,N,2,48600.0,Pensioner,Higher education,Separated,Municipal apartment,-13205,365243,1,1,1,0,Cooking staff,3
5011292,F,N,N,1,77700.0,Commercial associate,Higher education,Widow,Office apartment,-24060,-466,1,0,1,0,Managers,2
5011293,M,N,Y,0,156100.0,State servant,Higher education,Married,Municipal apartment,-17515,-1324,1,0,1,0,nan,2
5011294,M,N,N,2,72600.0,Working,Higher education,Married,House / apartment,-9013,-391,1,0,1,0,Managers,4
5011295,M,Y,Y,1,100100.0,Working,Higher education,Civil marriage,House / apartment,-17668,-1184,1,0,0,0,Cooking staff,3
5011296,F,N,Y,1,72100.0,Commercial associate,Higher education,Civil marriage,Office apartment,-13333,-296,1,1,1,0,nan,3
5011297,M,N,Y,0,87600.0,State servant,Higher education,Married,House / apartment,-16002,-663,1,0,1,0,Sales staff,2
5011298,F,N,N,0,40000.0,Pensioner,Incomplete higher,Married,House / apartment,-24746,365243,1,1,0,0,High skill tech staff,2
5011299,F,N,N,0,48300.0,Commercial associate,Higher education,Married,House / apartment,-24051,-4630,1,0,0,0,High skill tech staff,2
5011300,F,Y,Y,0,131800.0,Working,Incomplete higher,Single / not married,House / apartment,-11050,-18,1,0,1,0,Laborers,1
5011301,F,Y,Y,0,106900.0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,-14198,-3497,1,1,0,0,Managers,2
5011302,F,Y,Y,0,67300.0,Pensioner,Higher education,Married,House / apartment,-20090,365243,1,0,0,0,Security staff,2
5011303,M,N,Y,0,34200.0,Pensioner,Higher education,Married,House / apartment,-8975,365243,1,0,1,1,nan,2
5011304,F,Y,Y,2,155800.0,Commercial associate,Higher education,Married,House / apartment,-15180,-474,1,0,0,0,Cooking staff,4
5011305,F,N,Y,0,90300.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-16828,-1690,1,1,0,0,nan,2
5011306,F,N,Y,0,97800.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-13150,-6872,1,0,1,0,High skill tech staff,1
5011307,F,Y,Y,1,116200.0,Working,Secondary / secondary special,Married,House / apartment,-20469,-882,1,0,1,0,Core staff,3
5011308,M,N,Y,0,66200.0,State servant,Secondary / secondary special,Married,Co-op apartment,-14402,-4594,1,1,0,0,Drivers,2
5011309,M,N,N,0,163700.0,Commercial associate,Higher education,Single / not married,With parents,-15142,-4392,1,1,1,0,Sales staff,1
5011310,F,N,N,0,67900.0,Commercial associate,Incomplete higher,Married,Rented apartment,-20274,-614,1,0,1,1,Core staff,2
5011311,F,Y,Y,2,29700.0,Student,Secondary / secondary special,Married,Rented apartment,-21555,-551,1,0,1,0,Medicine staff,4
5011312,F,Y,Y,4,48000.0,Working,Academic degree,Single / not married,With parents,-21128,-127,1,0,0,0,High skill tech staff,5
5011313,F,Y,Y,1,43600.0,Working,Secondary / secondary special,Married,House / apartment,-15311,-767,1,1,1,1,Medicine staff,3
5011314,M,Y,Y,2,74100.0,Commercial associate,Higher education,Single / not married,House / apartment,-15255,-1602,1,0,1,0,Core staff,3
5011315,F,N,N,0,68000.0,Working,Incomplete higher,Separated,Municipal apartment,-12168,-5810,1,0,1,0,Cooking staff,1
5011316,F,N,N,2,93700.0,Working,Secondary / secondary special,Civil marriage,Rented apartment,-7793,-1393,1,0,1,0,Core staff,4
5011317,F,Y,N,3,35600.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20105,365243,1,1,0,0,Drivers,5
5011318,F,N,Y,1,119000.0,Commercial associate,Secondary / secondary special,Married,With parents,-24878,-1395,1,0,0,0,Laborers,3
5011319,F,N,Y,1,63300.0,Working,Incomplete higher,Married,House / apartment,-19574,-1939,1,1,0,0,Drivers,3
5011320,M,Y,Y,0,58600.0,Working,Lower secondary,Married,With parents,-21187,-7331,1,0,0,0,Laborers,2
5011321,F,Y,N,0,97100.0,Working,Secondary / secondary special,Single / not married,With parents,-10877,-2117,1,0,0,0,Sales staff,1
5011322,F,N,N,2,71500.0,Commercial associate,Higher education,Married,With parents,-18735,-802,1,0,0,0,Cooking staff,4
5011323,F,N,Y,1,166300.0,Working,Secondary / secondary special,Single / not married,House / apartment,-15467,-1748,1,0,0,0,Cooking staff,2
5011324,F,N,Y,1,57700.0,Pensioner,Lower secondary,Married,Office apartment,-9794,365243,1,0,0,0,Medicine staff,3
5011325,M,Y,N,1,49400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-25098,-279,1,0,0,0,Sales staff,3
5011326,M,Y,Y,2,69300.0,Working,Lower secondary,Married,With parents,-17173,-1095,1,0,1,0,Drivers,4
5011327,M,Y,N,1,54700.0,Working,Secondary / secondary special,Single / not married,House / apartment,-15992,-1522,1,0,0,0,Core staff,2
5011328,F,N,N,0,43700.0,Commercial associate,Lower secondary,Separated,House / apartment,-18471,-3572,1,0,1,0,High skill tech staff,1
5011329,M,N,Y,0,117700.0,Working,Higher education,Married,House / apartment,-8691,-178,1,0,1,0,Sales staff,2
5011330,M,Y,N,4,118900.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14789,-3787,1,0,1,0,Core staff,5
5011331,F,N,N,1,55400.0,State servant,Secondary / secondary special,Married,House / apartment,-15628,-385,1,0,1,0,Drivers,3
5011332,M,N,N,3,100700.0,Working,Secondary / secondary special,Married,House / apartment,-15328,-2569,1,0,1,0,Laborers,5
5011333,F,N,Y,2,108500.0,Working,Higher education,Married,House / apartment,-12984,-3255,1,0,1,0,High skill tech staff,4
5011334,F,N,Y,1,47300.0,Pensioner,Lower secondary,Married,House / apartment,-25451,365243,1,1,1,0,Core staff,3
5011335,F,Y,Y,0,112300.0,Working,Lower secondary,Civil marriage,House / apartment,-22759,-6834,1,1,1,0,Drivers,2
5011336,M,N,Y,0,83500.0,Working,Secondary / secondary special,Married,House / apartment,-12866,-4748,1,0,0,0,Sales staff,2
5011337,M,Y,Y,1,122400.0,Working,Higher education,Single / not married,House / apartment,-24787,-2400,1,0,0,0,Drivers,2
5011338,F,Y,Y,0,45300.0,State servant,Higher education,Married,Municipal apartment,-13138,-2582,1,0,1,0,Core staff,2
5011339,F,N,N,2,82100.0,State servant,Secondary / secondary special,Widow,House / apartment,-9148,-2772,1,0,1,1,Sales staff,3
5011340,F,N,Y,1,80100.0,Working,Secondary / secondary special,Married,House / apartment,-22341,-1579,1,0,0,0,Laborers,3
5011341,M,N,Y,0,54300.0,Commercial associate,Higher education,Married,House / apartment,-14742,-3172,1,0,1,0,Medicine staff,2
5011342,F,N,Y,1,45400.0,Working,Secondary / secondary special,Widow,House / apartment,-15542,-1270,1,0,1,0,Laborers,2
5011343,F,N,N,0,44800.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17622,-4014,1,0,0,0,Sales staff,2
5011344,F,N,N,0,74600.0,Working,Secondary / secondary special,Single / not married,House / apartment,-17156,-3155,1,0,0,0,Managers,1
5011345,F,Y,Y,0,60000.0,Working,Secondary / secondary special,Married,House / apartment,-12182,-1712,1,0,1,0,Core staff,2
5011346,F,N,N,2,27000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-12619,365243,1,0,0,1,Sales staff,3
5011347,F,N,Y,0,126500.0,Working,Higher education,Married,House / apartment,-11128,-2216,1,0,1,0,Sales staff,2
5011348,M,N,Y,0,87600.0,Working,Higher education,Single / not married,House / apartment,-11189,-832,1,0,1,0,Core staff,1
5011349,F,N,N,0,34300.0,Pensioner,Lower secondary,Married,House / apartment,-14563,365243,1,0,0,0,High skill tech staff,2
5011350,M,N,N,0,52100.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-17230,365243,1,0,1,0,Laborers,2
5011351,M,N,Y,0,82100.0,Commercial associate,Academic degree,Married,With parents,-16333,-946,1,0,1,0,Core staff,2
5011352,M,N,N,0,38000.0,State servant,Higher education,Married,House / apartment,-22381,-2908,1,0,1,0,High skill tech staff,2
5011353,M,N,N,2,82700.0,Working,Secondary / secondary special,Married,Municipal apartment,-23359,-309,1,0,0,0,High skill tech staff,4
5011354,M,Y,Y,0,153000.0,Working,Secondary / secondary special,Widow,Municipal apartment,-7859,-362,1,0,0,0,Core staff,1
5011355,M,N,Y,1,138100.0,Working,Academic degree,Civil marriage,Municipal apartment,-17430,-4506,1,0,0,0,High skill tech staff,3
5011356,F,N,Y,0,76600.0,Working,Academic degree,Married,House / apartment,-10510,-3698,1,0,0,0,Managers,2
5011357,F,N,Y,3,60100.0,Working,Higher education,Civil marriage,House / apartment,-13598,-1923,1,0,1,0,Managers,5
5011358,M,N,Y,0,117800.0,Commercial associate,Higher education,Married,House / apartment,-22587,-1943,1,0,1,0,Sales staff,2
5011359,F,N,N,2,82400.0,Working,Secondary / secondary special,Civil marriage,With parents,-17790,-1197,1,1,0,0,nan,4
5011360,F,N,Y,1,68700.0,Working,Incomplete higher,Married,House / apartment,-23505,-2128,1,0,0,0,Accountants,3
5011361,M,N,N,1,168900.0,Working,Secondary / secondary special,Married,House / apartment,-23310,-4471,1,0,0,0,Core staff,3
5011362,M,Y,Y,2,61200.0,Working,Incomplete higher,Married,House / apartment,-17164,-454,1,1,0,0,Core staff,4
5011363,F,N,Y,0,140600.0,Commercial associate,Higher education,Single / not married,House / apartment,-19387,-1608,1,0,0,0,Medicine staff,1
5011364,F,N,Y,1,78000.0,Working,Secondary / secondary special,Married,With parents,-16163,-4514,1,0,0,0,Sales staff,3
5011365,F,Y,Y,0,78200.0,Working,Secondary / secondary special,Married,House / apartment,-7992,-287,1,0,0,0,Laborers,2
5011366,M,N,Y,2,27000.0,Student,Higher education,Single / not married,Rented apartment,-23657,-434,1,1,0,0,Laborers,3
5011367,M,N,N,3,150100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10503,-1764,1,0,1,0,Sales staff,5
5011368,M,N,Y,2,106600.0,Working,Lower secondary,Married,House / apartment,-23781,-2009,1,1,1,1,Sales staff,4
5011369,M,Y,Y,0,99500.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-8254,-1737,1,0,1,1,Accountants,1
5011370,M,Y,N,0,145600.0,Commercial associate,Higher education,Civil marriage,House / apartment,-24663,-495,1,0,0,0,Drivers,2
5011371,M,N,Y,0,88200.0,Working,Secondary / secondary special,Single / not married,With parents,-14010,-1974,1,0,1,1,Medicine staff,1
5011372,F,Y,Y,0,40800.0,Working,Secondary / secondary special,Married,Rented apartment,-12793,-809,1,0,1,0,Sales staff,2
5011373,F,N,Y,0,59100.0,Commercial associate,Higher education,Married,House / apartment,-22668,-1024,1,1,0,0,High skill tech staff,2
5011374,M,Y,N,0,71200.0,Working,Lower secondary,Civil marriage,Municipal apartment,-21978,-147,1,0,0,0,Cooking staff,2
5011375,F,N,Y,4,34200.0,Working,Higher education,Married,House / apartment,-9052,-140,1,1,0,0,Laborers,6
5011376,M,Y,Y,1,121200.0,Working,Secondary / secondary special,Married,House / apartment,-21801,-3323,1,1,0,0,Accountants,3
5011377,F,Y,Y,1,66400.0,Working,Secondary / secondary special,Married,House / apartment,-12871,-1145,1,1,1,0,Accountants,3
5011378,M,N,N,0,81700.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-16993,-3111,1,0,0,0,Medicine staff,1
5011379,F,Y,Y,1,47000.0,Working,Higher education,Married,House / apartment,-12253,-3950,1,0,1,0,Core staff,3
5011380,F,N,N,3,97800.0,Working,Higher education,Separated,House / apartment,-11135,-3526,1,0,0,0,Sales staff,4
5011381,F,N,N,1,85700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20980,-8401,1,0,0,0,Core staff,3
5011382,M,N,Y,0,78900.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-23406,-689,1,0,1,0,Core staff,2
5011383,F,N,N,0,172500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20019,-232,1,0,0,0,nan,2
5011384,M,Y,N,4,131800.0,Working,Higher education,Married,House / apartment,-17301,-1644,1,0,0,0,Managers,6
5011385,F,Y,Y,0,102500.0,Working,Higher education,Single / not married,Rented apartment,-17273,-7239,1,1,0,0,Security staff,1
5011386,F,N,Y,1,52200.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-24044,365243,1,0,0,0,Medicine staff,3
5011387,F,N,Y,0,58000.0,Working,Incomplete higher,Married,Office apartment,-16125,-1632,1,0,0,0,Managers,2
5011388,F,N,Y,0,64200.0,Working,Higher education,Married,Rented apartment,-18630,-1266,1,1,1,1,nan,2
5011389,F,N,N,2,66000.0,State servant,Higher education,Separated,House / apartment,-11250,-2034,1,1,0,0,Security staff,3
5011390,M,N,Y,0,87200.0,Working,Higher education,Married,House / apartment,-12237,-1210,1,0,0,0,Managers,2
5011391,F,Y,Y,0,72100.0,Working,Higher education,Widow,House / apartment,-14257,-7765,1,0,0,0,Core staff,1
5011392,M,N,N,0,72900.0,Working,Higher education,Single / not married,With parents,-23625,-3419,1,0,1,0,Laborers,1
5011393,F,N,Y,3,146300.0,Working,Secondary / secondary special,Single / not married,House / apartment,-20888,-2940,1,0,1,0,Managers,4
5011394,F,N,Y,0,122400.0,Working,Lower secondary,Married,House / apartment,-8662,-776,1,1,1,0,Sales staff,2
5011395,F,N,N,2,51500.0,Working,Higher education,Married,Rented apartment,-25535,-3221,1,0,0,0,Accountants,4
5011396,F,Y,Y,0,83600.0,Working,Secondary / secondary special,Married,House / apartment,-12815,-1521,1,0,0,1,Laborers,2
5011397,F,Y,N,2,51600.0,Working,Secondary / secondary special,Married,House / apartment,-10703,-4256,1,0,0,0,Security staff,4
5011398,M,N,Y,4,95900.0,Working,Lower secondary,Married,With parents,-8450,-1936,1,0,1,0,Sales staff,6
5011399,F,N,Y,0,113300.0,Pensioner,Secondary / secondary special,Married,With parents,-8965,365243,1,0,0,1,Managers,2
5011400,M,N,Y,0,40500.0,Pensioner,Incomplete higher,Married,House / apartment,-17921,365243,1,0,1,0,Core staff,2
5011401,F,Y,Y,0,104400.0,Working,Secondary / secondary special,Married,With parents,-18248,-2010,1,0,1,0,nan,2
5011402,M,Y,N,1,158700.0,State servant,Incomplete higher,Married,House / apartment,-18768,-5046,1,0,0,0,Sales staff,3
5011403,M,N,N,0,86000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-15536,-1928,1,0,0,0,Security staff,1
5011404,F,Y,N,0,114200.0,Commercial associate,Higher education,Single / not married,House / apartment,-22157,-3745,1,0,0,0,Core staff,1
5011405,M,N,Y,0,158200.0,Working,Lower secondary,Separated,House / apartment,-14126,-1559,1,0,0,1,Laborers,1
5011406,F,N,N,0,31200.0,Pensioner,Secondary / secondary special,Married,House / apartment,-8116,365243,1,0,0,0,High skill tech staff,2
5011407,M,N,N,0,48200.0,State servant,Higher education,Civil marriage,House / apartment,-23618,-2174,1,0,0,1,nan,2
5011408,M,Y,Y,2,41800.0,Working,Incomplete higher,Married,Municipal apartment,-20077,-4015,1,0,1,1,High skill tech staff,4
5011409,F,N,N,2,128400.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-11836,-1331,1,0,0,0,Drivers,3
5011410,M,Y,Y,0,57900.0,Commercial associate,Higher education,Married,House / apartment,-15351,-2503,1,0,1,0,Managers,2
5011411,M,Y,Y,1,94100.0,Working,Secondary / secondary special,Single / not married,House / apartment,-22278,-45,1,0,0,0,Core staff,2
5011412,F,Y,N,1,134800.0,Working,Secondary / secondary special,Married,Rented apartment,-16846,-1253,1,0,0,0,Managers,3
5011413,M,Y,N,1,54300.0,Working,Secondary / secondary special,Married,House / apartment,-16615,-85,1,0,1,0,Laborers,3
5011414,F,N,Y,0,51900.0,Working,Higher education,Married,House / apartment,-19055,-687,1,0,0,0,Core staff,2
5011415,M,Y,Y,0,98900.0,Working,Lower secondary,Married,House / apartment,-10757,-1538,1,0,0,0,Managers,2
5011416,M,Y,N,1,93400.0,Commercial associate,Lower secondary,Married,House / apartment,-21329,-1691,1,0,1,0,Laborers,3
5011417,F,N,N,1,31600.0,Commercial associate,Higher education,Single / not married,Rented apartment,-11081,-3385,1,0,0,0,Medicine staff,2
5011418,M,Y,Y,0,153000.0,State servant,Secondary / secondary special,Single / not married,Municipal apartment,-20336,-1343,1,0,0,0,Laborers,1
5011419,M,N,Y,0,117200.0,Commercial associate,Higher education,Married,House / apartment,-25176,-6414,1,0,1,0,Sales staff,2
5011420,M,Y,Y,0,61600.0,Working,Incomplete higher,Single / not married,House / apartment,-19017,-1039,1,0,0,0,Managers,1
5011421,M,Y,N,0,60500.0,Working,Incomplete higher,Married,House / apartment,-22414,-1284,1,1,1,0,nan,2
5011422,F,N,Y,0,65100.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22559,365243,1,1,0,0,Drivers,2
5011423,M,Y,Y,0,71700.0,Working,Incomplete higher,Single / not married,House / apartment,-8414,-1909,1,0,0,0,Core staff,1
5011424,F,N,Y,0,93800.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-18257,-601,1,0,1,0,Sales staff,1
5011425,F,Y,N,2,78300.0,Working,Secondary / secondary special,Single / not married,House / apartment,-22547,-1822,1,0,0,0,Sales staff,3
5011426,F,Y,Y,0,50600.0,Working,Secondary / secondary special,Married,Municipal apartment,-23511,-221,1,0,1,0,Core staff,2
5011427,F,Y,N,1,62200.0,Working,Higher education,Separated,House / apartment,-20165,-282,1,0,0,0,Laborers,2
5011428,M,Y,Y,1,67200.0,Working,Higher education,Civil marriage,House / apartment,-9208,-325,1,0,0,0,Managers,3
5011429,F,Y,Y,0,33800.0,Pensioner,Secondary / secondary special,Married,Office apartment,-18355,365243,1,0,0,0,Core staff,2
5011430,M,N,N,0,82800.0,Working,Higher education,Widow,House / apartment,-7866,-31,1,0,0,1,Laborers,1
5011431,F,N,N,2,90900.0,Working,Higher education,Married,With parents,-10924,-4342,1,0,0,0,Core staff,4
5011432,F,Y,N,0,101500.0,Pensioner,Higher education,Married,House / apartment,-25387,365243,1,1,1,0,Managers,2
5011433,M,N,N,2,51900.0,Working,Secondary / secondary special,Separated,Rented apartment,-8824,-2421,1,0,0,0,Core staff,3
5011434,F,N,N,2,109200.0,Working,Academic degree,Married,House / apartment,-24306,-5105,1,1,1,0,Core staff,4
5011435,F,N,N,1,145800.0,State servant,Incomplete higher,Married,House / apartment,-14962,-2568,1,0,0,0,High skill tech staff,3
5011436,M,N,N,2,112100.0,Working,Secondary / secondary special,Married,House / apartment,-16135,-1868,1,0,0,0,High skill tech staff,4
5011437,M,N,Y,1,38000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20865,365243,1,1,0,1,Core staff,3
5011438,F,Y,Y,0,41400.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23440,365243,1,1,0,0,Managers,2
5011439,F,Y,Y,3,144800.0,Working,Higher education,Married,Office apartment,-12171,-2126,1,0,1,1,Medicine staff,5
5011440,F,N,N,0,67200.0,Working,Secondary / secondary special,Married,House / apartment,-12362,-211,1,1,0,0,High skill tech staff,2
5011441,F,N,Y,0,72100.0,Working,Higher education,Married,House / apartment,-14444,-196,1,0,0,1,Laborers,2
5011442,F,N,N,0,58700.0,Working,Secondary / secondary special,Married,House / apartment,-25274,-554,1,0,1,0,Sales staff,2
5011443,F,N,Y,1,129500.0,Commercial associate,Higher education,Single / not married,With parents,-13575,-2066,1,0,1,0,Accountants,2
5011444,M,N,Y,0,27000.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-14851,-1660,1,0,0,0,Laborers,1
5011445,M,N,Y,2,50800.0,Working,Higher education,Civil marriage,House / apartment,-21674,-1488,1,1,1,0,Core staff,4
5011446,F,N,Y,0,47100.0,Working,Higher education,Married,House / apartment,-13102,-1093,1,0,0,1,High skill tech staff,2
5011447,F,N,Y,2,186800.0,Commercial associate,Lower secondary,Married,With parents,-19485,-3723,1,0,1,0,Core staff,4
5011448,M,Y,Y,0,101500.0,Commercial associate,Higher education,Single / not married,House / apartment,-18228,-3004,1,1,0,1,Sales staff,1
5011449,M,Y,N,0,43400.0,Pensioner,Secondary / secondary special,Married,House / apartment,-10415,365243,1,0,1,0,Managers,2
5011450,F,Y,Y,0,83400.0,Commercial associate,Higher education,Single / not married,House / apartment,-15234,-383,1,0,1,0,Medicine staff,1
5011451,F,N,Y,0,27000.0,Pensioner,Higher education,Married,House / apartment,-22146,365243,1,0,0,0,Managers,2
5011452,F,Y,Y,0,134600.0,Working,Secondary / secondary special,Married,Rented apartment,-11053,-558,1,0,0,1,Cooking staff,2
5011453,F,N,N,3,78000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-25507,-163,1,0,1,0,Laborers,5
5011454,M,Y,N,0,95500.0,Working,Higher education,Married,House / apartment,-7887,-276,1,0,0,1,Medicine staff,2
5011455,M,N,N,1,57100.0,State servant,Incomplete higher,Married,House / apartment,-19072,-8989,1,0,1,0,Drivers,3
5011456,M,Y,Y,0,71200.0,Working,Secondary / secondary special,Married,House / apartment,-16327,-381,1,1,0,0,Security staff,2
5011457,M,Y,Y,0,50800.0,State servant,Secondary / secondary special,Widow,House / apartment,-12606,-1347,1,0,0,0,Sales staff,1
5011458,F,N,N,0,42500.0,Pensioner,Higher education,Separated,House / apartment,-17788,365243,1,0,0,0,Managers,1
5011459,M,N,N,0,146000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-22085,-683,1,0,0,0,Security staff,1
5011460,F,N,Y,2,76700.0,Working,Secondary / secondary special,Separated,House / apartment,-17209,-3807,1,0,1,0,Security staff,3
5011461,F,N,Y,1,86500.0,Working,Higher education,Single / not married,Rented apartment,-12860,-2036,1,0,1,1,Sales staff,2
5011462,M,Y,Y,0,94000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16530,-2314,1,1,0,0,Security staff,2
5011463,F,Y,Y,1,152400.0,Working,Higher education,Single / not married,House / apartment,-7842,-694,1,0,1,0,High skill tech staff,2
5011464,F,N,N,0,53200.0,State servant,Higher education,Married,With parents,-22749,-2718,1,0,0,0,Sales staff,2
5011465,F,N,Y,1,44700.0,Pensioner,Higher education,Single / not married,House / apartment,-8796,365243,1,0,0,1,nan,2
5011466,M,N,Y,2,51700.0,Pensioner,Academic degree,Married,Municipal apartment,-21578,365243,1,0,0,0,Laborers,4
5011467,F,N,Y,2,46700.0,Working,Secondary / secondary special,Civil marriage,Rented apartment,-17165,-1409,1,0,1,0,Sales staff,4
5011468,F,N,N,0,77400.0,Working,Secondary / secondary special,Married,House / apartment,-18623,-174,1,0,1,0,Core staff,2
5011469,M,Y,N,0,92600.0,Commercial associate,Higher education,Married,House / apartment,-23261,-1588,1,1,1,1,nan,2
5011470,M,N,N,0,77000.0,Working,Higher education,Civil marriage,Municipal apartment,-14643,-812,1,0,0,0,Laborers,2
5011471,F,N,Y,3,50100.0,Pensioner,Higher education,Civil marriage,House / apartment,-22828,365243,1,0,0,0,High skill tech staff,5
5011472,F,N,N,3,35100.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-16219,365243,1,0,0,0,Accountants,5
5011473,M,Y,Y,0,35200.0,Working,Higher education,Single / not married,Rented apartment,-13781,-2159,1,0,0,0,Core staff,1
5011474,F,Y,Y,2,99300.0,Commercial associate,Higher education,Single / not married,House / apartment,-18598,-377,1,0,1,0,Laborers,3
5011475,M,Y,Y,3,61200.0,Commercial associate,Higher education,Married,House / apartment,-21622,-1103,1,1,1,0,Laborers,5
5011476,F,Y,Y,0,87700.0,Commercial associate,Incomplete higher,Married,House / apartment,-10024,-2764,1,0,0,0,Laborers,2
5011477,M,N,Y,2,52200.0,Working,Secondary / secondary special,Married,Rented apartment,-19624,-2155,1,0,0,0,Medicine staff,4
5011478,F,Y,N,0,37600.0,Working,Higher education,Married,Municipal apartment,-22861,-3041,1,0,1,0,nan,2
5011479,M,Y,Y,0,86000.0,Working,Secondary / secondary special,Married,House / apartment,-8914,-2354,1,0,0,0,Cooking staff,2
5011480,M,Y,Y,0,65100.0,Pensioner,Secondary / secondary special,Married,House / apartment,-10264,365243,1,0,1,0,Sales staff,2
5011481,M,N,Y,0,120100.0,Working,Higher education,Married,Co-op apartment,-8036,-1529,1,0,0,0,Accountants,2
5011482,M,N,Y,2,38900.0,Pensioner,Higher education,Married,House / apartment,-22848,365243,1,0,0,0,Security staff,4
5011483,F,Y,Y,0,93100.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-18022,-5855,1,0,1,0,Security staff,1
5011484,M,Y,Y,0,89500.0,State servant,Secondary / secondary special,Married,House / apartment,-19814,-4786,1,0,0,0,Laborers,2
5011485,F,Y,Y,0,46300.0,Student,Incomplete higher,Married,House / apartment,-13635,-3812,1,0,0,0,Core staff,2
5011486,M,N,Y,1,41600.0,Commercial associate,Higher education,Married,House / apartment,-21930,-321,1,0,0,0,nan,3
5011487,M,Y,Y,1,37800.0,Working,Secondary / secondary special,Married,House / apartment,-14641,-3080,1,0,0,0,Accountants,3
5011488,M,N,Y,1,136600.0,Working,Higher education,Widow,House / apartment,-21215,-5778,1,0,1,0,Security staff,2
5011489,M,N,Y,0,34300.0,Working,Secondary / secondary special,Single / not married,Rented apartment,-17888,-5395,1,1,0,0,Managers,1
5011490,M,Y,Y,1,110500.0,Working,Academic degree,Married,Rented apartment,-9811,-3261,1,0,0,0,Sales staff,3
5011491,M,N,Y,2,166400.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-14684,-2481,1,0,1,0,High skill tech staff,4
5011492,F,Y,N,0,68200.0,Pensioner,Higher education,Married,Municipal apartment,-17457,365243,1,1,1,1,Managers,2
5011493,M,N,Y,1,46600.0,Working,Secondary / secondary special,Single / not married,With parents,-9669,-2067,1,1,0,0,Sales staff,2
5011494,F,Y,Y,2,49000.0,Working,Incomplete higher,Widow,House / apartment,-25348,-1055,1,0,0,0,Sales staff,3
5011495,F,N,N,1,89100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9705,-3255,1,0,0,0,Laborers,3
5011496,M,N,N,1,168900.0,State servant,Higher education,Single / not married,House / apartment,-24220,-720,1,0,1,0,Managers,2
5011497,F,N,N,1,160300.0,Working,Lower secondary,Married,House / apartment,-10037,-645,1,1,0,0,Managers,3
5011498,F,Y,N,0,83700.0,Working,Secondary / secondary special,Single / not married,House / apartment,-21215,-511,1,1,0,0,Drivers,1
5011499,F,Y,Y,1,37500.0,State servant,Higher education,Married,Rented apartment,-20662,-2076,1,0,0,1,Laborers,3
5011500,F,N,Y,2,78700.0,Working,Secondary / secondary special,Married,Rented apartment,-9563,-1876,1,0,1,0,nan,4
5011501,M,N,N,0,83300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19848,-1681,1,0,0,0,Accountants,2
5011502,F,N,N,2,92400.0,Commercial associate,Incomplete higher,Married,House / apartment,-7902,-364,1,1,0,1,Laborers,4
5011503,F,Y,N,1,34700.0,Working,Secondary / secondary special,Single / not married,House / apartment,-18308,-1276,1,0,1,0,Laborers,2
5011504,F,Y,N,0,81600.0,Working,Incomplete higher,Separated,House / apartment,-15648,-5492,1,0,1,0,High skill tech staff,1
